id;fonte;data;indirizzo;zona;tipo;mq;stato;piano;ascensore;classe;balconi;cantina;box;epoca;affaccio;metro;prezzo_richiesto;prezzo_venduto;note
ds-220;idealista;2026-09-05;Via Lecco, 5;C12;civ;65;abit;terra;si;D;0;no;nessuno;;;;365000;;Porta Venezia - Repubblica · Bilocale · stato: Buono stato · N/D
ds-221;idealista;2026-09-05;Via Panfilo Castaldi s.n.c;C12;civ;43;abit;3-5;si;D;0;no;nessuno;;;;330000;;Porta Venezia - Repubblica · Bilocale · stato: Buono stato · N/D
ds-222;idealista;2026-09-05;Viale Tunisia, 13;C12;civ;50;abit;1-2;si;D;1;no;nessuno;;;;435000;;Porta Venezia - Repubblica · Bilocale · stato: Buono stato · N/D
ds-223;idealista;2026-09-05;Piazza Enrico Bottini, 4;D12;civ;53;abit;6+;si;G;1;si;nessuno;;;;269000;;Città Studi · Bilocale · stato: Buono stato · N/D
ds-224;idealista;2026-09-05;Via Alessandro Milesi, 4;D12;civ;60;abit;terra;no;D;0;no;nessuno;;;;285000;;Città Studi · Bilocale · stato: Buono stato · N/D
ds-225;idealista;2026-09-05;Via Beato Angelico, 1;D12;civ;40;abit;3-5;si;E;0;no;nessuno;;;;350000;;Città Studi · Bilocale · stato: Buono stato · N/D
ds-226;idealista;2026-09-05;Via Giovanni Pacini, 38;D12;civ;136;abit;3-5;si;D;1;si;nessuno;;;;690000;;Città Studi · Trilocale · stato: Buono stato · N/D
ds-227;idealista;2026-09-05;Via Giuseppe Bardelli, 4;D12;civ;193;abit;3-5;si;D;1;si;nessuno;;;;1000000;;Città Studi · Appartamento · stato: Buono stato · N/D
ds-228;immobiliare;2026-09-05;Piazza Giovanni Giolitti;D12;sig;177;rist;1-2;si;F;1;si;nessuno;;;;1100000;;Città Studi · Appartamento · stato: Da ristrutturare · Lusso
ds-229;immobiliare;2026-09-05;Via Giovanni Pascoli 56;D12;sig;150;otti;6+;si;D;1;si;nessuno;;;;950000;;Città Studi · Trilocale · stato: Ottimo stato · Lusso
ds-230;immobiliare;2026-09-05;Via Giuseppe Colombo;D12;sig;210;otti;terra;no;F;1;no;nessuno;;;;1150000;;Città Studi · Villa a schiera · stato: Ottimo stato · Lusso
ds-231;immobiliare;2026-09-05;piazzale Segrino 5;C15;civ;80;rist;rialzato;si;G;0;si;nessuno;;;;410000;;Zara · Bilocale · stato: Da ristrutturare · N/D
ds-232;immobiliare;2026-09-05;Via Abbadesse 46;C15;sig;50;nuov;3-5;si;A;0;no;nessuno;;;;528000;;Zara · Bilocale · stato: Nuovo · Lusso
ds-233;immobiliare;2026-09-05;Via Lario 14;C15;civ;50;otti;1-2;si;E;1;no;nessuno;;;;340000;;Zara · Bilocale · stato: Ottimo stato · N/D
ds-234;immobiliare;2026-09-05;Via Lario 8;C15;civ;65;abit;rialzato;si;F;1;si;nessuno;;;;370000;;Zara · Trilocale · stato: Buono stato · N/D
ds-235;immobiliare;2026-09-05;Via Monte Cristallo, 3;C15;civ;56;otti;terra;no;G;0;no;nessuno;;;;255000;;Zara · Bilocale · stato: Ottimo stato · N/D
ds-236;immobiliare;2026-09-05;Via Torquato Taramelli 5;C15;civ;200;abit;1-2;no;G;1;si;box;;;;1295000;;Zara · Villa unifamiliare · stato: Buono stato · N/D
ds-237;immobiliare;2026-09-05;Via Quinto Romano 22;E5;civ;160;otti;terra;no;E;1;si;box;;;;450000;;Baggio · Appartamento in villa · stato: Ottimo stato · N/D
ds-238;immobiliare;2026-09-05;Via Capri 6;E5;civ;39;otti;terra;no;B;0;no;posto;;;;149000;;Baggio · Bilocale · stato: Ottimo stato · N/D
ds-239;immobiliare;2026-09-05;Via Capri 9;E5;civ;51;otti;rialzato;si;E;0;si;nessuno;;;;168000;;Baggio · Bilocale · stato: Ottimo stato · N/D
ds-240;immobiliare;2026-09-05;Via Francesco Rismondo 110;E5;civ;48;nuov;1-2;si;A;1;si;posto;;;;189000;;Baggio · Bilocale · stato: Nuovo · N/D
ds-241;immobiliare;2026-09-05;Via Pietro Canevari 7;E5;civ;170;abit;1-2;no;F;1;si;box;;;;460000;;Baggio · Quadrilocale · stato: Buono stato · N/D
ds-242;immobiliare;2026-09-05;Via Pietro Colla 36;E5;civ;250;rist;terra;no;G;1;si;box;;;;550000;;Baggio · Villa bifamiliare · stato: Da ristrutturare · N/D
ds-243;immobiliare;2026-09-05;Via Valle Anzasca 20;E5;civ;55;nuov;3-5;si;A;1;no;posto;;;;225000;;Baggio · Bilocale · stato: Nuovo · N/D
ds-244;immobiliare;2026-09-05;Via delle Forze Armate 260;D25;civ;200;rist;rialzato;no;G;0;si;box;;;;680000;;Baggio · Villa a schiera · stato: Da ristrutturare · N/D
ds-245;immobiliare;2026-09-05;Via Alessandro Astesani 41;D32;civ;68;otti;6+;si;D;1;si;nessuno;;;;299000;;Affori · Bilocale · stato: Ottimo stato · N/D
ds-246;immobiliare;2026-09-05;Via Alessandro Astesani 45;D32;civ;102;otti;terra;si;B;1;si;box;;;;410000;;Affori · Trilocale · stato: Ottimo stato · N/D
ds-247;immobiliare;2026-09-05;Via Carlo Bellerio 22;D32;civ;80;otti;1-2;no;E;1;si;nessuno;;;;329000;;Affori · Trilocale · stato: Ottimo stato · N/D
ds-248;immobiliare;2026-09-05;Via Chianciano 7;D32;civ;45;otti;terra;si;D;0;no;nessuno;;;;193000;;Affori · Bilocale · stato: Ottimo stato · N/D
ds-249;immobiliare;2026-09-05;Via Gabbro 12;D32;civ;90;otti;6+;si;F;1;si;nessuno;;;;405000;;Affori · Trilocale · stato: Ottimo stato · N/D
ds-250;immobiliare;2026-09-05;Via Gaetano Osculati 8;D32;civ;50;nuov;terra;no;A;0;no;nessuno;;;;262000;;Affori · Bilocale · stato: Nuovo · N/D
ds-251;immobiliare;2026-09-05;Via Privata Publio Rutilio Rufo, 20161 Milano Italia;D32;civ;40;otti;3-5;no;D;1;no;nessuno;;;;179000;;Affori · Bilocale · stato: Ottimo stato · N/D
ds-252;immobiliare;2026-09-05;Via Don Bartolomeo Grazioli 57;D32;civ;50;nuov;1-2;si;A;1;no;nessuno;;;;210000;;Dergano · Bilocale · stato: Nuovo · N/D
ds-253;immobiliare;2026-09-05;Via Ripamonti 18;C19;sig;47;nuov;rialzato;si;C;0;no;nessuno;;;;387000;;Bocconi · Bilocale · stato: Nuovo · Lusso
ds-254;immobiliare;2026-09-05;Via Litta Modignani 114;D32;civ;130;abit;terra;no;D;0;no;box;;;;620000;;Comasina · Villa a schiera · stato: N/D · N/D
ds-255;immobiliare;2026-09-05;Piazza Filippo Meda;B12;sig;82;abit;1-2;no;E;1;no;nessuno;;;;798000;;Duomo · Bilocale · stato: Buono stato · Lusso
ds-256;immobiliare;2026-09-05;Via Broletto 37;B12;sig;136;otti;rialzato;si;D;0;no;nessuno;;;;1150000;;Duomo · Trilocale · stato: Ottimo stato · Lusso
ds-257;immobiliare;2026-09-05;Via Broletto 39;B12;sig;55;otti;1-2;si;G;1;si;nessuno;;;;825000;;Duomo · Bilocale · stato: Ottimo stato · Lusso
ds-258;immobiliare;2026-09-05;Via Broletto 41;B12;sig;54;otti;1-2;no;E;0;no;nessuno;;;;500000;;Duomo · Monolocale · stato: Ottimo stato · Lusso
ds-259;immobiliare;2026-09-05;Via Luigi Galvani 15;C12;sig;68;otti;1-2;si;D;1;no;nessuno;;;;519000;;Melchiorre Gioia · Trilocale · stato: Ottimo stato · Lusso
ds-260;immobiliare;2026-09-05;Via Solferino 43;B18;sig;106;otti;1-2;si;B;0;si;nessuno;;;;1390000;;Moscova · Trilocale · stato: Ottimo stato · Lusso
ds-261;immobiliare;2026-09-05;Via Solferino 46;B18;sig;40;otti;1-2;si;C;0;no;nessuno;;;;590000;;Moscova · Appartamento · stato: Ottimo stato · Lusso
ds-262;immobiliare;2026-09-05;Via Solferino 56;B18;sig;93;otti;1-2;si;D;0;no;nessuno;;;;980000;;Moscova · Trilocale · stato: Ottimo stato · Lusso
ds-263;immobiliare;2026-09-05;Via Solferino, 23;B18;sig;134;otti;1-2;si;B;1;si;box;;;;3100000;;Moscova · Trilocale · stato: Ottimo stato · Lusso
ds-264;immobiliare;2026-09-05;Via Alessandro Tadino 2;C12;sig;27;otti;1-2;si;G;0;no;nessuno;;;;267000;;Porta Venezia · Monolocale · stato: Ottimo stato · Lusso
ds-265;immobiliare;2026-09-05;Via Rosolino Pilo 12;C12;civ;77;abit;1-2;si;F;0;no;nessuno;;;;450000;;Porta Venezia · Trilocale · stato: Buono stato · N/D
ds-266;immobiliare;2026-09-05;Viale Tunisia 25;C12;civ;95;otti;1-2;si;F;1;si;nessuno;;;;590000;;Porta Venezia · Trilocale · stato: Ottimo stato · N/D
ds-267;immobiliare;2026-09-05;Via Curtatone, 16;B19;sig;47;otti;3-5;si;D;0;no;nessuno;;;;479000;;Quadronno - Crocetta · Bilocale · stato: Ottimo stato · Lusso
ds-268;immobiliare;2026-09-05;Viale Emilio Caldara 31;B19;sig;140;abit;3-5;si;E;1;si;nessuno;;;;849000;;Quadronno - Crocetta · Quadrilocale · stato: Buono stato · Lusso
ds-269;immobiliare;2026-09-05;Via Ancona;B18;sig;150;otti;terra;si;A;0;no;nessuno;;;;1580000;;Turati · Loft · stato: Ottimo stato · Lusso
ds-270;immobiliare;2026-09-05;Via Solferino 12;B18;sig;113;rist;3-5;si;G;0;si;nessuno;;;;1300000;;Turati · Trilocale · stato: Da ristrutturare · Lusso
