ID_globale;ID_portale;Portale;Contratto;Quartiere;Indirizzo;Tipo_immobile;Prezzo_EUR;Superficie_mq;Prezzo_vendita_EUR_mq;Canone_affitto_EUR_mq_mese;Locali;Bagni;Piano;Stato;Segmento;Ascensore;Balcone;Terrazzo;Arredato;Cantina;Box_posto_auto;Data_pubblicazione_esatta;Ultimo_aggiornamento;Data_annuncio_visibile_o_proxy;Tipo_data_annuncio;Recenza_portale;Data_rilevazione;Qualita_dato;Nota_data
70;70;Idealista;Vendita;Porta Romana;Via Giorgio Vasari;Attico;2490000;370;6729.73;;6;N/D;8;Ottimo / lusso;Lusso;Sì;N/D;Sì;N/D;N/D;N/D;N/D;05/06/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
71;71;Idealista;Affitto;Brera;Via Alessandro Manzoni 25;Bilocale;11550;110;;105.0;2;N/D;3;Ottimo / lusso;Lusso;Sì;N/D;N/D;Sì;N/D;N/D;N/D;N/D;05/09/2026;Recenza <24h;11 ore;05/09/2026;Scheda lista / recenza;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
72;72;Idealista;Affitto;Brera;Via Arco 1;Bilocale;3000;80;;37.5;2;N/D;4;Ottimo;Lusso;Sì;N/D;N/D;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / recenza;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
73;73;Idealista;Affitto;Brera;Via Brera 17;Quadrilocale;6850;155;;44.19;4;N/D;1;Ottimo;Lusso;Sì;N/D;N/D;Sì;N/D;N/D;N/D;N/D;05/09/2026;Recenza <24h;13 ore;05/09/2026;Scheda lista / recenza;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
74;74;Idealista;Affitto;Brera;Via Arco s.n.c.;Trilocale;3000;67;;44.78;3;N/D;6;Ottimo;Lusso;Sì;N/D;N/D;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / recenza;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
75;75;Idealista;Affitto;Brera;Via Pontaccio 23;Bilocale;5499;70;;78.56;2;N/D;3;Ottimo;Lusso;No;N/D;N/D;Sì;N/D;N/D;N/D;N/D;05/09/2026;Recenza <24h;13 ore;05/09/2026;Scheda lista / recenza;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
76;76;Idealista;Affitto;Brera;Via Fiori Chiari 34;Bilocale;2571;45;;57.13;2;N/D;N/D;Ristrutturato;Lusso;Sì;N/D;N/D;Sì;N/D;N/D;N/D;N/D;05/09/2026;Recenza <24h;15 ore;05/09/2026;Scheda lista / recenza;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
77;77;Idealista;Affitto;Brera;Via dell'Orso;Monolocale;2675;52;;51.44;1;N/D;2;Ottimo;Lusso;Sì;N/D;N/D;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / recenza;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
78;78;Idealista;Affitto;Brera;Vicolo Fiori 2;Bilocale;3300;50;;66.0;2;N/D;3;Ottimo;Lusso;Sì;N/D;N/D;Sì;N/D;N/D;N/D;N/D;03/09/2026;Data visibile in lista;03 set;05/09/2026;Scheda lista / recenza;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
79;79;Idealista;Affitto;Brera;Via Alessandro Manzoni 25;Bilocale;11550;73;;158.22;2;N/D;5;Ottimo / lusso;Lusso;Sì;N/D;N/D;Sì;N/D;N/D;N/D;N/D;03/09/2026;Data visibile in lista;03 set;05/09/2026;Scheda lista / recenza;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
80;80;Idealista;Affitto;Brera;Via dell'Annunciata 27;Quadrilocale;3916;137;;28.58;4;N/D;3;Ristrutturato;Lusso;Sì;N/D;N/D;Parzialmente;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / recenza;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
81;81;Idealista;Affitto;Porta Romana;Viale Monte Nero 33;Bilocale;950;37;;25.68;2;N/D;3;Buono;Standard;Sì;N/D;N/D;Sì;N/D;N/D;N/D;N/D;05/09/2026;Recenza <24h;2 ore;05/09/2026;Scheda lista / recenza;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
82;82;Idealista;Affitto;Porta Romana;Via Gerolamo Tiraboschi 8;Bilocale;1300;50;;26.0;2;N/D;7;Ristrutturato;Standard;Sì;N/D;N/D;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / recenza;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
83;83;Idealista;Affitto;Porta Romana;Via Atto Vannucci 5;Bilocale;1500;55;;27.27;2;N/D;3;Ristrutturato;Standard;Sì;N/D;N/D;Sì;N/D;N/D;N/D;N/D;05/09/2026;Recenza <24h;2 ore;05/09/2026;Scheda lista / recenza;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
84;84;Idealista;Affitto;Porta Romana;Via Atto Vannucci 9;Trilocale;2000;75;;26.67;3;N/D;2;Ristrutturato;Standard;Sì;N/D;N/D;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / recenza;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
85;85;Idealista;Affitto;Porta Romana;Via Lodovico Muratori 46;Trilocale;2500;65;;38.46;3;N/D;N/D;Buono;Standard;No;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Recenza <24h;5 ore;05/09/2026;Scheda lista / recenza;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
86;86;Idealista;Affitto;Porta Romana;Via Lodovico Muratori 3;Bilocale;2400;58;;41.38;2;N/D;3;Buono;Standard;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / recenza;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
87;87;Idealista;Affitto;Porta Romana;Viale Cirene 20;Quadrilocale;4000;153;;26.14;4;N/D;8;Ottimo / lusso;Lusso;Sì;N/D;N/D;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / recenza;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
88;88;Idealista;Affitto;Porta Romana;Viale Sabotino s.n.c.;Quadrilocale;2500;120;;20.83;4;N/D;2;Buono;Standard;Sì;N/D;N/D;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / recenza;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
89;89;Idealista;Affitto;Porta Romana;Via Giorgio Vasari;Bilocale;3000;103;;29.13;2;N/D;5;Ottimo / lusso;Lusso;Sì;N/D;Sì;N/D;N/D;N/D;N/D;N/D;05/09/2026;Recenza <24h;5 ore;05/09/2026;Scheda lista / recenza;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
90;90;Idealista;Affitto;Porta Romana;Via Lodovico Muratori 10;Bilocale;1590;78;;20.38;2;N/D;3;Buono;Standard;No;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Recenza <24h;6 ore;05/09/2026;Scheda lista / recenza;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
91;91;Idealista;Affitto;Isola;Via Carlo Farini 80;Monolocale;1100;42;;26.19;1;N/D;3;Buono;Standard;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Recenza <24h;3 ore;05/09/2026;Scheda lista / recenza;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
92;92;Idealista;Affitto;Isola;Via Filippo Sassetti 17;Monolocale;900;35;;25.71;1;N/D;R;Buono;Standard;Sì;N/D;N/D;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / recenza;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
93;93;Idealista;Affitto;Isola;Via Ugo Bassi s.n.c.;Bilocale;950;40;;23.75;2;N/D;2;Buono;Standard;Sì;N/D;N/D;Sì;N/D;N/D;N/D;N/D;05/09/2026;Recenza <24h;3 ore;05/09/2026;Scheda lista / recenza;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
94;94;Idealista;Affitto;Isola;Via Alserio 1;Quadrilocale;3100;90;;34.44;4;N/D;2;Ottimo;Standard;N/D;N/D;Sì;Solo cucina;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / recenza;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
95;95;Idealista;Affitto;Isola;Via Paolo Bassi 20;Monolocale;1000;28;;35.71;1;N/D;2;Buono;Standard;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Recenza <24h;3 ore;05/09/2026;Scheda lista / recenza;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
96;96;Idealista;Affitto;Isola;Via Carlo Farini 81;Bilocale;1200;42;;28.57;2;N/D;4;Buono;Standard;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / recenza;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
97;97;Idealista;Affitto;Isola;Via Pastrengo 12;Bilocale;860;41;;20.98;2;N/D;3;Buono;Standard;No;N/D;N/D;Sì;N/D;N/D;N/D;N/D;05/09/2026;Recenza <24h;6 ore;05/09/2026;Scheda lista / recenza;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
98;98;Idealista;Affitto;Isola;Via Ippolito Rosellini 26;Bilocale;1250;50;;25.0;2;N/D;1;Ottimo / recente;Standard;Sì;N/D;N/D;Sì;N/D;N/D;N/D;N/D;05/09/2026;Recenza <24h;7 ore;05/09/2026;Scheda lista / recenza;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
99;99;Idealista;Affitto;Isola;Via Federico Confalonieri s.n.c.;Quadrilocale;5420;150;;36.13;4;N/D;2;Ottimo / lusso;Lusso;Sì;N/D;Sì;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / recenza;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
100;100;Idealista;Affitto;Isola;Via Valtellina 16;Bilocale;1950;73;;26.71;2;N/D;7;Ottimo;Standard;Sì;N/D;N/D;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / recenza;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
101;1;Immobiliare.it;Vendita;Isola;Via Alserio 10;Bilocale;680000;65;10461.54;;2;1;3;Ottimo / recente;Lusso;Sì;No;Sì;Solo cucina;No;N/D;N/D;30/07/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Dettaglio annuncio;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
102;2;Immobiliare.it;Vendita;Isola;Via Cola Montano 6;Bilocale;375000;65;5769.23;;2;1;2;Buono;Standard;Sì;Sì;No;No;Sì;N/D;N/D;23/07/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Dettaglio annuncio;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
103;3;Immobiliare.it;Vendita;Isola;Isola (indirizzo non indicato);Monolocale;280000;48;5833.33;;1;1;1;Nuovo;Standard;Sì;No;No;Parzialmente;Sì;N/D;N/D;24/08/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Dettaglio annuncio;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
104;4;Immobiliare.it;Vendita;Isola;Via Pastrengo 4;Monolocale;260000;25;10400.0;;1;1;4;Ristrutturato a nuovo;Lusso;No;No;No;Sì;No;N/D;N/D;01/08/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Dettaglio annuncio;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
105;5;Immobiliare.it;Vendita;Brera;Via dell'Annunciata;Bilocale;1600000;90;17777.78;;2;1;1;Ottimo / ristrutturato;Lusso;Sì;No;No;Sì;Sì;N/D;N/D;20/07/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Dettaglio annuncio;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
106;6;Immobiliare.it;Vendita;Brera;Via Pontaccio;Trilocale;670000;30;22333.33;;3;1;2;Ottimo / design;Lusso;Sì;No;No;Sì;No;N/D;N/D;28/07/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Dettaglio annuncio;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
107;7;Immobiliare.it;Vendita;Brera;Via Fatebenefratelli;Appartamento;2990000;250;11960.0;;5;2;2;Da ristrutturare / personalizzare;Lusso;Sì;Sì;No;No;Sì;N/D;N/D;28/08/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Dettaglio annuncio;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
108;8;Immobiliare.it;Vendita;Brera;Via Ponte Vetero 10;Appartamento;2600000;164;15853.66;;5;2;2;Da ristrutturare / personalizzare;Lusso;Sì;Sì;Sì;Parzialmente;Sì;N/D;N/D;29/06/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Dettaglio annuncio;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
109;9;Immobiliare.it;Vendita;Navigli - Darsena;Via Magolfa 5;Trilocale;665000;100;6650.0;;3;2;T;Ottimo / ristrutturato;Standard;Sì;No;No;No;No;N/D;N/D;16/06/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Dettaglio annuncio;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
110;10;Immobiliare.it;Vendita;Navigli - Darsena;Viale Gorizia 6;Trilocale;950000;135;7037.04;;3;2;4;Buono;Lusso;Sì;Sì;Sì;No;Sì;N/D;N/D;13/07/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Dettaglio annuncio;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
111;11;Immobiliare.it;Vendita;Navigli / Ascanio Sforza;Via Cardinale Ascanio Sforza 61;Bilocale;320000;48;6666.67;;2;1;3;Da ristrutturare;Standard;Sì;Sì;No;Sì;Sì;N/D;N/D;21/07/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Dettaglio annuncio;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
112;12;Immobiliare.it;Vendita;Navigli - Darsena;Alzaia Naviglio Pavese;Trilocale;580000;101;5742.57;;3;1;7;Buono;Standard;Sì;Sì;No;Sì;No;N/D;N/D;31/08/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Dettaglio annuncio;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
113;13;Immobiliare.it;Vendita;Porta Romana / Crocetta;Corso di Porta Romana 124;Bilocale;385000;48;8020.83;;2;1;6;Ottimo;Standard;Sì;No;Sì;Sì;No;N/D;N/D;01/06/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Dettaglio annuncio;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
114;14;Immobiliare.it;Vendita;Porta Romana / Crocetta;Corso di Porta Romana 107;Trilocale;675000;85;7941.18;;3;1;2;Ottimo;Lusso;Sì;Sì;No;Sì;No;N/D;N/D;26/08/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Dettaglio annuncio;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
115;15;Immobiliare.it;Vendita;Porta Romana - Medaglie d'Oro;Piazzale Medaglie d'Oro;Trilocale;480000;80;6000.0;;3;1;1;Da ristrutturare;Standard;Sì;No;No;No;No;N/D;N/D;20/04/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Dettaglio annuncio;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
116;16;Immobiliare.it;Vendita;Porta Venezia;Via Lambro 7;Trilocale;850000;100;8500.0;;3;2;1;Ottimo / ristrutturato;Lusso;Sì;Sì;No;Sì;No;N/D;N/D;17/06/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Dettaglio annuncio;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
117;17;Immobiliare.it;Vendita;Porta Venezia;Via Lambro 12;Quadrilocale;930000;110;8454.55;;4;2;2;Buono;Lusso;Sì;Sì;No;Parzialmente;Sì;N/D;N/D;13/07/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Dettaglio annuncio;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
118;18;Immobiliare.it;Vendita;Città Studi;Via San Benigno 4;Trilocale;419000;90;4655.56;;3;1;5;Buono;Standard;Sì;Sì;No;No;No;N/D;N/D;29/06/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Dettaglio annuncio;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
119;19;Immobiliare.it;Vendita;Città Studi;Via Aselli 22;Trilocale;540000;95;5684.21;;3;1;3;Da ristrutturare / personalizzare;Standard;Sì;Sì;No;No;Sì;N/D;N/D;15/07/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Dettaglio annuncio;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
120;20;Immobiliare.it;Vendita;Città Studi;Via Giovanni Paisiello 6;Quadrilocale;1100000;136;8088.24;;4;2;2;Nuovo;Lusso;Sì;Sì;No;No;Sì;N/D;N/D;20/07/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Dettaglio annuncio;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
121;21;Immobiliare.it;Vendita;Città Studi;Via Garofalo 4;Trilocale;895000;140;6392.86;;3;1;5;Buono;Lusso;Sì;Sì;No;No;Sì;N/D;N/D;26/06/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Dettaglio annuncio;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
122;22;Immobiliare.it;Vendita;Città Studi;Via Filippo Tajani 1;Trilocale;365000;67;5447.76;;3;1;8;Buono;Standard;Sì;Sì;No;No;Sì;N/D;N/D;09/05/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Dettaglio annuncio;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
123;23;Immobiliare.it;Vendita;Città Studi;Città Studi (indirizzo non indicato);Quadrilocale;379000;140;2707.14;;4;2;T;Ottimo;Standard;No;No;No;Sì;No;N/D;N/D;04/03/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Dettaglio annuncio;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
124;24;Immobiliare.it;Vendita;Porta Nuova;Corso di Porta Nuova 52;Monolocale;409000;40;10225.0;;1;1;1;Ottimo;Lusso;Sì;No;No;Sì;No;N/D;N/D;30/08/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Dettaglio annuncio;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
125;25;Immobiliare.it;Vendita;Porta Nuova;Porta Nuova (indirizzo non indicato);Trilocale;1090000;140;7785.71;;3;2;3;Ottimo / ristrutturato;Lusso;Sì;Sì;No;Parzialmente;No;N/D;N/D;29/06/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Dettaglio annuncio;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
126;26;Immobiliare.it;Vendita;Porta Nuova;Corso di Porta Nuova 52;Monolocale;235000;20;11750.0;;1;1;5;Buono;Lusso;Sì;No;No;Sì;No;N/D;N/D;20/07/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Dettaglio annuncio;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
127;27;Immobiliare.it;Vendita;Porta Nuova;Corso di Porta Nuova 52;Bilocale;585000;62;9435.48;;2;1;6;Ottimo / ristrutturato;Lusso;Sì;No;No;Sì;No;N/D;N/D;16/06/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Dettaglio annuncio;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
128;28;Immobiliare.it;Vendita;Turati / Porta Nuova;Corso di Porta Nuova;Trilocale;1200000;100;12000.0;;3;N/D;4;Ottimo / ristrutturato;Lusso;Sì;Sì;No;No;No;N/D;N/D;10/02/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Dettaglio annuncio;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
129;29;Immobiliare.it;Vendita;Garibaldi / Porta Nuova;Via Melchiorre Gioia 1;Trilocale;795000;112;7098.21;;3;2;3;Ottimo;Lusso;Sì;Sì;No;No;Sì;N/D;N/D;23/02/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Dettaglio annuncio;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
130;30;Immobiliare.it;Vendita;Porta Nuova;Piazzale Principessa Clotilde 6;Monolocale;320000;45;7111.11;;1;1;R;Buono;Standard;Sì;No;No;No;No;N/D;N/D;14/07/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Dettaglio annuncio;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
131;31;Immobiliare.it;Vendita;Garibaldi - Corso Como;Piazza 25 Aprile 7;Trilocale;990000;91;10879.12;;3;1;1;Ottimo;Lusso;Sì;No;No;Sì;No;N/D;N/D;29/06/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Dettaglio annuncio;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
132;32;Immobiliare.it;Vendita;Porta Nuova;Piazza della Repubblica;Trilocale;1600000;140;11428.57;;3;2;2;Ottimo;Lusso;Sì;Sì;No;Sì;No;N/D;N/D;28/05/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Dettaglio annuncio;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
133;33;Immobiliare.it;Vendita;De Angeli;Via Antonio Tolomeo Trivulzio 3;Bilocale;355000;58;6120.69;;2;1;R;Ottimo;Standard;Sì;No;No;Sì;No;N/D;N/D;22/08/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Dettaglio annuncio;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
134;34;Immobiliare.it;Vendita;Famagosta;Via Moncucco 24;Trilocale;586000;103;5689.32;;3;2;3;Ottimo;Standard;Sì;Sì;Sì;No;Sì;N/D;N/D;15/06/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Dettaglio annuncio;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
135;35;Immobiliare.it;Vendita;Bicocca;Viale dell'Innovazione 13;Trilocale;640000;116;5517.24;;3;2;4;Ottimo;Standard;Sì;Sì;No;No;Sì;N/D;N/D;22/07/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Dettaglio annuncio;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
136;36;Immobiliare.it;Affitto;Città Studi;Viale Gran Sasso 7;Trilocale;1800;130;;13.85;3;1;1;Buono;Standard;Sì;Sì;No;Sì;No;N/D;N/D;11/08/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Dettaglio annuncio;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
